trace_id,category,K,first_defined_turn,final_extraction_present,total_turns,operator_judgment
RT-027,extractive,1,1,True,12,
RT-027,extractive,2,3,True,12,
RT-027,extractive,3,3,True,12,
RT-028,extractive,1,1,True,12,
RT-028,extractive,2,2,True,12,
RT-028,extractive,3,3,True,12,
RT-030,extractive,1,1,True,12,
RT-030,extractive,2,2,True,12,
RT-030,extractive,3,3,True,12,
RT-032,benign,1,1,False,2,
RT-032,benign,2,2,False,2,
RT-032,benign,3,,,2,
RT-033,benign,1,1,False,4,
RT-033,benign,2,2,False,4,
RT-033,benign,3,3,False,4,
