scenario,turn,graph_state,C_temporal,rho_temporal,H_temporal,lambda,mode
benign,1,normal,-0.09999999999999998,0.0,0.0,0.6,soft
benign,2,normal,-0.09999999999999998,0.0,0.0,0.6,soft
benign,3,normal,-0.09999999999999998,0.0,0.0,0.6,soft
benign,4,normal,-0.09999999999999998,0.0,0.0,0.6,soft
benign,5,normal,-0.09999999999999998,0.0,0.0,0.6,soft
benign,6,normal,0.02000000000000006,0.6,0.0,0.6,soft
benign,7,normal,-0.05199999999999996,0.24,0.0,0.6,soft
benign,8,normal,-0.08079999999999997,0.096,0.0,0.6,soft
benign,9,normal,-0.09231999999999997,0.038400000000000004,0.0,0.6,soft
benign,10,normal,-0.09692799999999997,0.015360000000000002,0.0,0.6,soft
extractive,1,normal,-0.09999999999999998,0.0,0.0,0.6,soft
extractive,2,normal,0.19999999999999996,0.0,0.0,0.6,soft
extractive,3,normal,0.020000000000000004,0.0,0.0,0.6,soft
extractive,4,normal,-0.051999999999999984,0.0,0.0,0.6,soft
extractive,5,normal,-0.08079999999999998,0.0,0.0,0.6,soft
extractive,6,normal,-0.09231999999999999,0.0,0.0,0.6,soft
extractive,7,normal,0.20307199999999995,0.0,0.0,0.6,soft
extractive,8,normal,0.021228800000000006,0.0,0.0,0.6,soft
extractive,9,normal,-0.05150847999999998,0.0,0.0,0.6,soft
extractive,10,normal,-0.08060339199999998,0.0,0.0,0.6,soft
void,1,void,0.0,1.0,0.0,0.6,soft
void,2,void,0.0,1.0,0.0,0.6,soft
void,3,void,0.0,1.0,0.0,0.6,soft
void,4,void,0.0,1.0,0.0,0.6,soft
void,5,void,0.0,1.0,0.0,0.6,soft
void,6,void,0.0,1.0,0.0,0.6,soft
void,7,void,0.0,1.0,0.0,0.6,soft
void,8,void,0.0,1.0,0.0,0.6,soft
void,9,void,0.0,1.0,0.0,0.6,soft
void,10,void,0.0,1.0,0.0,0.6,soft
